,Market,N Most Traded
2020-01-01 00:00:00,805.828750849896,804.0762413197072
2020-01-02 00:00:00,784.5920530445387,783.1294281609524
2020-01-03 00:00:00,813.5795293816522,814.6703118608073
2020-01-04 00:00:00,822.8790319671118,821.9534602385796
2020-01-05 00:00:00,822.3216699217027,825.0891278407032
2020-01-06 00:00:00,844.1860658683256,872.732133966289
2020-01-07 00:00:00,843.9410513379944,876.8037140418844
2020-01-08 00:00:00,842.1292131248262,865.7322988177102
2020-01-09 00:00:00,831.2698542691402,853.9569318881528
2020-01-10 00:00:00,848.5302826751965,884.88431941404
2020-01-11 00:00:00,846.6268207683062,882.1407886502468
2020-01-12 00:00:00,863.6743645691473,899.257546452105
2020-01-13 00:00:00,864.0013714705668,889.0639550465424
2020-01-14 00:00:00,941.6310183681677,980.2280112110811
2020-01-15 00:00:00,963.1064607080351,976.7456648760696
2020-01-16 00:00:00,964.7919414129253,967.5678432843749
2020-01-17 00:00:00,994.759695744086,1001.978988067232
2020-01-18 00:00:00,978.3826134841895,1004.65241265183
2020-01-19 00:00:00,953.9386239115505,977.0759907439036
2020-01-20 00:00:00,962.7619232299423,972.6642415743839
2020-01-21 00:00:00,971.7479467605339,982.5274273192688
2020-01-22 00:00:00,976.372518626441,980.7701632763738
2020-01-23 00:00:00,943.4757480836114,947.0991194686895
2020-01-24 00:00:00,946.5899923954889,946.0764535622969
2020-01-25 00:00:00,947.5599653139606,937.0142738096094
2020-01-26 00:00:00,973.4475423131224,967.2338355134557
2020-01-27 00:00:00,994.9615098049636,987.0579867830521
2020-01-28 00:00:00,1015.8111688919636,1015.6738966776586
2020-01-29 00:00:00,1014.5869964868607,1009.2170914927857
2020-01-30 00:00:00,1037.176607570307,1058.2550488431916
2020-01-31 00:00:00,1031.4013261554528,1044.6682057947585
2020-02-01 00:00:00,1051.882918961378,1060.79950192327
2020-02-02 00:00:00,1072.5968694949502,1071.6619484129128
2020-02-03 00:00:00,1082.8017366342517,1073.5144241133482
2020-02-04 00:00:00,1114.7467179184198,1076.2239074978486
2020-02-05 00:00:00,1152.7742246845403,1125.798220620316
2020-02-06 00:00:00,1186.7823962468958,1142.8344212024394
2020-02-07 00:00:00,1213.7891878259816,1156.3316200193328
2020-02-08 00:00:00,1216.6639357828772,1163.6916522153842
2020-02-09 00:00:00,1252.740131198323,1182.022696527756
2020-02-10 00:00:00,1250.4693805316415,1155.0530134803764
2020-02-11 00:00:00,1309.808225202198,1187.6628267137517
2020-02-12 00:00:00,1365.622670291786,1256.2923746445317
2020-02-13 00:00:00,1370.934149740611,1270.7821709491561
2020-02-14 00:00:00,1411.68767530662,1303.3757786125034
2020-02-15 00:00:00,1342.6463220932715,1231.9587924792784
2020-02-16 00:00:00,1320.7521237017313,1215.2220661897134
2020-02-17 00:00:00,1298.5047511472121,1201.9811321645936
2020-02-18 00:00:00,1387.7875567871183,1249.7347174142938
2020-02-19 00:00:00,1320.686338469695,1181.4965736554404
2020-02-20 00:00:00,1305.0377839257696,1170.0836336270274
2020-02-21 00:00:00,1355.4672206074845,1194.094432391691
2020-02-22 00:00:00,1351.975147709702,1196.5759511565564
2020-02-23 00:00:00,1385.0596185672807,1232.490999533034
2020-02-24 00:00:00,1330.6616000294437,1195.2467693647473
2020-02-25 00:00:00,1300.7197604573544,1143.5686540688855
2020-02-26 00:00:00,1215.7371564216041,1057.6449088759152
2020-02-27 00:00:00,1237.9278977203348,1064.3253083766822
2020-02-28 00:00:00,1226.982469394682,1054.5633088277616
2020-02-29 00:00:00,1216.3404107777824,1039.4603502383331
2020-03-01 00:00:00,1217.2513287615136,1032.32834868771
2020-03-02 00:00:00,1273.5266779269234,1069.2967954081712
2020-03-03 00:00:00,1273.7985974920127,1059.8963484908681
2020-03-04 00:00:00,1283.5339862631545,1056.2439790986384
2020-03-05 00:00:00,1313.136234013001,1079.2891280338429
2020-03-06 00:00:00,1329.472601238039,1100.341972855441
2020-03-07 00:00:00,1296.2040958845464,1075.4903170727714
2020-03-08 00:00:00,1167.4076807091706,965.8903948391857
2020-03-09 00:00:00,1158.2479968247935,956.9903684559399
2020-03-10 00:00:00,1169.5796093095141,959.1421996449675
2020-03-11 00:00:00,1145.9120092579,942.4057297407365
2020-03-12 00:00:00,803.1960725322904,672.6733975903015
2020-03-13 00:00:00,882.5354041109658,754.1038174498836
2020-03-14 00:00:00,865.299028818253,709.6835512933151
2020-03-15 00:00:00,887.299536249618,731.9607477102907
2020-03-16 00:00:00,809.3346724162618,677.3770438767724
2020-03-17 00:00:00,851.2480654657186,690.4919911716887
2020-03-18 00:00:00,884.6822245047315,690.786654482161
2020-03-19 00:00:00,1010.8839256087608,789.4715679428283
2020-03-20 00:00:00,994.6932521299848,772.6984421616173
2020-03-21 00:00:00,1063.9383742815187,775.1214623632147
2020-03-22 00:00:00,996.2153258969728,736.0654988847343
2020-03-23 00:00:00,1072.70491259107,784.3981561117365
2020-03-24 00:00:00,1106.143764768729,809.0379268881202
2020-03-25 00:00:00,1092.5043011338894,798.4783674145516
2020-03-26 00:00:00,1124.1939378948468,819.1883168217936
2020-03-27 00:00:00,1104.8675461404355,806.4014922423688
2020-03-28 00:00:00,1087.067798578736,794.4445153924769
2020-03-29 00:00:00,1042.9568379635084,762.9962463404144
2020-03-30 00:00:00,1126.1428620876086,800.8243325388445
2020-03-31 00:00:00,1143.024835395308,804.1991983889036
2020-04-01 00:00:00,1157.1808762707633,812.1667494775346
2020-04-02 00:00:00,1173.5005668712506,828.8753428371539
2020-04-03 00:00:00,1173.7051761025396,830.4264987859303
2020-04-04 00:00:00,1198.6863164664576,841.1878318458047
2020-04-05 00:00:00,1188.177853320794,834.9911014320204
2020-04-06 00:00:00,1257.9743084879824,905.1778546520991
2020-04-07 00:00:00,1278.1591604223884,897.5112343412936
2020-04-08 00:00:00,1303.3916167809275,924.5809522425803
2020-04-09 00:00:00,1318.9062259431764,920.4677215161796
2020-04-10 00:00:00,1230.8262859772715,869.2573207234134
2020-04-11 00:00:00,1241.449685883111,869.1726130370088
2020-04-12 00:00:00,1260.154500607083,879.4316069415311
2020-04-13 00:00:00,1273.2264563040576,862.189909790132
2020-04-14 00:00:00,1275.608571946889,860.1386364768902
2020-04-15 00:00:00,1249.449303175335,840.9572413702361
2020-04-16 00:00:00,1321.7592632932856,895.5860969105468
2020-04-18 00:00:00,1361.0977728882865,925.7033333752147
2020-04-19 00:00:00,1348.9858685946776,908.9212506670035
2020-04-20 00:00:00,1319.5671984023134,876.5768102306367
2020-04-21 00:00:00,1335.8466046380447,878.9815988471787
2020-04-22 00:00:00,1379.575033689096,901.2048147862342
2020-04-23 00:00:00,1403.1492381175524,919.0417062511351
2020-04-24 00:00:00,1459.9120957094674,937.9991445300091
2020-04-25 00:00:00,1482.909634294766,945.036365717323
2020-04-26 00:00:00,1508.0220790137537,950.2892103657178
2020-04-27 00:00:00,1500.6920384903785,955.0039530936162
2020-04-28 00:00:00,1518.00803951383,979.6697358859934
2020-04-29 00:00:00,1597.9649073881285,1047.2789186392704
2020-04-30 00:00:00,1554.248209625333,1010.201283946015
2020-05-01 00:00:00,1598.091056415313,1032.8820699026874
2020-05-02 00:00:00,1622.6881113929126,1047.4788274711002
2020-05-03 00:00:00,1587.0086149334118,1031.8332236228937
2020-05-04 00:00:00,1593.3691665103383,1026.2034073955194
2020-05-05 00:00:00,1606.694785946398,1020.5239470184072
2020-05-06 00:00:00,1604.0625940699713,1022.4808773086804
2020-05-07 00:00:00,1637.4204159075578,1052.4724879997464
2020-05-08 00:00:00,1669.0843127338444,1054.379051129362
2020-05-09 00:00:00,1661.6961640453599,1042.4093392997531
2020-05-10 00:00:00,1565.8749912538492,961.131008125455
2020-05-11 00:00:00,1538.8989901915893,947.4634557774621
2020-05-12 00:00:00,1592.7592637607252,961.2042489566651
2020-05-13 00:00:00,1632.7726525427295,989.7119761726909
2020-05-14 00:00:00,1652.1107968153108,1008.4154817221718
2020-05-15 00:00:00,1632.9639864623737,984.4760279304761
2020-05-16 00:00:00,1654.1950192547915,992.7042255007784
2020-05-17 00:00:00,1672.8773592767798,1008.793036534669
2020-05-18 00:00:00,1690.4001571818658,1028.228169969333
2020-05-19 00:00:00,1693.6831626107657,1025.835583150908
2020-05-20 00:00:00,1697.53840617464,1011.0586244223603
2020-05-21 00:00:00,1675.6513339601725,979.7207659720698
2020-05-22 00:00:00,1740.454431518763,1000.6539890035438
2020-05-23 00:00:00,1762.3817061579705,1001.0834188532405
2020-05-24 00:00:00,1744.303985593793,974.3709619990225
2020-05-25 00:00:00,1804.7872563000742,984.3793266201046
2020-05-26 00:00:00,1803.2374041308065,972.7938912193819
2020-05-27 00:00:00,1832.287351914167,998.844159606154
2020-05-28 00:00:00,1862.7510599696286,1023.0189471010259
2020-05-29 00:00:00,1877.5460678972177,1019.6076371003651
2020-05-30 00:00:00,1943.8009404414338,1065.9517199637062
2020-05-31 00:00:00,1890.50214815473,1038.02784543382
2020-06-01 00:00:00,1966.2667057576605,1087.6110811798442
2020-06-02 00:00:00,1927.232371109304,1046.8891660630065
2020-06-03 00:00:00,1967.6966369729919,1062.9664839258062
2020-06-04 00:00:00,1991.4883320910426,1070.3531997241657
2020-06-05 00:00:00,1978.248630049324,1061.1503276363046
2020-06-06 00:00:00,1996.63848708435,1058.2898032080204
2020-06-07 00:00:00,2007.5702254364319,1064.2429554585053
2020-06-08 00:00:00,2022.481572335645,1064.77640593563
2020-06-09 00:00:00,2057.7882709069363,1060.6870061120248
2020-06-10 00:00:00,2099.4167589026724,1067.8456385973948
2020-06-11 00:00:00,1970.267205463341,1014.3080438543448
2020-06-12 00:00:00,2062.53005659223,1033.4856358631837
2020-06-13 00:00:00,2076.79188553322,1034.7194558544397
2020-06-14 00:00:00,2032.634703526508,1023.098998546476
2020-06-15 00:00:00,2030.5584103817619,1020.9342468697671
2020-06-16 00:00:00,2055.4272976411617,1024.3889362295122
2020-06-17 00:00:00,2049.6178296127187,1024.954775495429
2020-06-18 00:00:00,2080.771847595743,1018.1643360111937
2020-06-19 00:00:00,2075.192456055063,1000.9082235819244
2020-06-20 00:00:00,2104.3542108177703,1009.7251057003714
2020-06-21 00:00:00,2116.8372627605236,1005.0499797612013
2020-06-22 00:00:00,2166.2966783853476,1032.8043063972561
2020-06-23 00:00:00,2193.058047574537,1034.1380883469474
2020-06-24 00:00:00,2146.3581867705425,1008.611567378841
2020-06-25 00:00:00,2138.74972740422,1003.0063809831028
2020-06-26 00:00:00,2117.446881120922,1000.3352744162281
2020-06-27 00:00:00,2042.5436714493842,978.4153444743073
2020-06-28 00:00:00,2089.5760576191087,982.5763571604028
2020-06-29 00:00:00,2126.3749620005233,988.3681717331065
2020-06-30 00:00:00,2113.8557574196275,981.0619030869769
2020-07-01 00:00:00,2150.0936589430084,989.8159465355209
2020-07-02 00:00:00,2155.702299451479,988.1753397076512
2020-07-03 00:00:00,2178.0642956159713,978.4417843585688
2020-07-04 00:00:00,2219.281722996325,988.8405792422896
2020-07-05 00:00:00,2209.760727407327,982.6485315734269
2020-07-06 00:00:00,2281.678904279945,1025.3930650501075
2020-07-07 00:00:00,2305.436442099075,1013.2989688732627
2020-07-08 00:00:00,2406.6200549464556,1054.3626753288493
2020-07-09 00:00:00,2386.84763645456,1043.6237111645498
2020-07-10 00:00:00,2369.4734607953374,1035.5100464069913
2020-07-11 00:00:00,2398.549687256079,1038.2306944506927
2020-07-12 00:00:00,2414.0251465345686,1039.9893174158208
2020-07-13 00:00:00,2406.7495442232066,1031.8984108584839
2020-07-14 00:00:00,2422.518488572414,1032.001471482134
2020-07-15 00:00:00,2424.4221055939997,1025.190962876692
2020-07-16 00:00:00,2384.723931656966,1010.7586810462108
2020-07-17 00:00:00,2448.8447299445893,1010.0115254310563
2020-07-18 00:00:00,2471.5106964960414,1020.1005891834843
2020-07-19 00:00:00,2489.132933084301,1023.6081983151407
2020-07-20 00:00:00,2463.4820038032794,1014.6249140515202
2020-07-21 00:00:00,2501.594565450126,1038.5705285708943
2020-07-22 00:00:00,2572.699372044382,1067.707199330494
2020-07-23 00:00:00,2608.2739890623075,1082.6009119127732
2020-07-24 00:00:00,2601.2858201606605,1078.4417493409733
2020-07-25 00:00:00,2661.38355850658,1133.7924638671263
2020-07-26 00:00:00,2654.5625329898685,1140.5806750928284
2020-07-27 00:00:00,2631.190762952792,1207.6950321128982
2020-07-28 00:00:00,2694.0536702143704,1221.3801752313746
2020-07-29 00:00:00,2692.9480019564276,1239.00427507783
2020-07-30 00:00:00,2723.1333251611923,1259.9034143888266
2020-07-31 00:00:00,2738.561443063404,1293.3925526899475
2020-08-01 00:00:00,2834.4269941724424,1377.5192120235151
2020-08-02 00:00:00,2744.280786760234,1327.563811410785
2020-08-03 00:00:00,2796.103358365221,1374.0595246297612
2020-08-04 00:00:00,2828.3985849473606,1362.564568535412
2020-08-05 00:00:00,2886.2348378579036,1394.2001478528507
2020-08-06 00:00:00,2956.8112966115227,1390.5416038212602
2020-08-07 00:00:00,2938.4700432629315,1359.0057909497086
2020-08-08 00:00:00,3049.8428826651457,1375.8233186047567
2020-08-09 00:00:00,3119.957229721266,1363.1030308235524
2020-08-10 00:00:00,3273.7115094616584,1381.7357993243884
2020-08-11 00:00:00,3144.9612293753285,1332.6868704799388
2020-08-12 00:00:00,3252.911039026593,1350.200265858526
2020-08-13 00:00:00,3314.318812177524,1408.4265807754573
2020-08-14 00:00:00,3344.7555057105624,1406.0557249204812
2020-08-15 00:00:00,3355.0458009712315,1420.8381892127982
2020-08-16 00:00:00,3612.1315678590768,1444.1314798811575
2020-08-17 00:00:00,3621.77605309233,1474.7870701060756
2020-08-18 00:00:00,3582.0637393883494,1447.8550578766547
2020-08-19 00:00:00,3468.902679365091,1402.342376565337
2020-08-20 00:00:00,3678.918623809716,1418.1318223250405
2020-08-21 00:00:00,3529.7559478589633,1366.1889814447075
2020-08-22 00:00:00,3683.7398000945805,1382.025945570071
2020-08-23 00:00:00,3709.6112413975475,1379.2113754332115
2020-08-24 00:00:00,3806.0146210674775,1404.3897603237801
2020-08-25 00:00:00,3647.3407014666705,1350.8361669241197
2020-08-26 00:00:00,3729.1555046132144,1353.8878671176526
2020-08-27 00:00:00,3609.219790517366,1323.9917064609792
2020-08-28 00:00:00,3770.165156567552,1351.9836443114837
2020-08-29 00:00:00,3859.0761468749656,1356.2662892956391
2020-08-30 00:00:00,3930.523692202914,1414.1189378335457
2020-08-31 00:00:00,3938.9681565465166,1409.8273172206466
2020-09-01 00:00:00,3974.7551034167514,1466.3375599113397
2020-09-02 00:00:00,3799.2955042127783,1387.9461863782421
2020-09-03 00:00:00,3325.6074212329822,1246.9050152282794
2020-09-04 00:00:00,3428.2181378905334,1278.8272649637056
2020-09-05 00:00:00,3231.957774311785,1201.238901253683
2020-09-06 00:00:00,3324.868916142642,1222.888904472295
2020-09-07 00:00:00,3314.174915927011,1229.0864064613909
2020-09-08 00:00:00,3275.4508588482445,1200.5683174365013
2020-09-09 00:00:00,3348.7234960659234,1218.561265506027
2020-09-10 00:00:00,3417.075737892598,1241.2291225447977
2020-09-11 00:00:00,3445.281169882497,1248.2532452542941
2020-09-12 00:00:00,3483.4594804039866,1270.9363230335316
